Row,Number of Houses,Pipe Size,pipe_size
Row 1,9,10 inches,15 inches
Row 2,10,10 inches,15 inches
Row 3,6,10 inches,15 inches
Row 4,10,10 inches,15 inches
Row 5,11,15 inches,15 inches
Row 6,13,15 inches,15 inches
Row 7,8,10 inches,15 inches
Row 8,14,15 inches,15 inches
Row 9,5,5 inches,15 inches
Row 10,6,10 inches,15 inches
Row 11,15,15 inches,15 inches
Row 12,9,10 inches,15 inches
Row 13,10,10 inches,15 inches
Row 14,6,10 inches,15 inches
Row 15,10,10 inches,15 inches
Row 16,10,10 inches,15 inches
Row 17,9,10 inches,15 inches
Row 18,6,10 inches,15 inches
Row 19,6,10 inches,15 inches
Row 20,15,15 inches,15 inches
Row 21,13,15 inches,15 inches
Row 22,7,10 inches,15 inches
Row 23,6,10 inches,15 inches
Row 24,7,10 inches,15 inches
Row 25,14,15 inches,15 inches
Row 26,13,15 inches,15 inches
Row 27,12,15 inches,15 inches
Row 28,10,10 inches,15 inches
Row 29,6,10 inches,15 inches
Row 30,10,10 inches,15 inches
Row 31,14,15 inches,15 inches
Row 32,8,10 inches,15 inches
Row 33,5,5 inches,15 inches
Row 34,7,10 inches,15 inches
Row 35,12,15 inches,15 inches
Row 36,6,10 inches,15 inches
Row 37,6,10 inches,15 inches
Row 38,13,15 inches,15 inches
Row 39,5,5 inches,15 inches
Row 40,8,10 inches,15 inches
Row 41,6,10 inches,15 inches
Row 42,8,10 inches,15 inches
Row 43,9,10 inches,15 inches
Row 44,9,10 inches,15 inches
Row 45,11,15 inches,15 inches
Row 46,12,15 inches,15 inches
Row 47,10,10 inches,15 inches
Row 48,9,10 inches,15 inches
Row 49,6,10 inches,15 inches
Row 50,6,10 inches,15 inches
Row 51,8,10 inches,15 inches
Row 52,5,5 inches,15 inches
Row 53,5,5 inches,15 inches
Row 54,5,5 inches,15 inches
Row 55,12,15 inches,15 inches
Row 56,12,15 inches,15 inches
Row 57,11,15 inches,15 inches
Row 58,7,10 inches,15 inches
Row 59,12,15 inches,15 inches
Row 60,8,10 inches,15 inches
Row 61,15,15 inches,15 inches
Row 62,10,10 inches,15 inches
Row 63,8,10 inches,15 inches
Row 64,12,15 inches,15 inches
Row 65,9,10 inches,15 inches
Row 66,15,15 inches,15 inches
Row 67,5,5 inches,15 inches
Row 68,10,10 inches,15 inches
Row 69,9,10 inches,15 inches
Row 70,14,15 inches,15 inches
Row 71,6,10 inches,15 inches
Row 72,7,10 inches,15 inches
Row 73,6,10 inches,15 inches
Row 74,5,5 inches,15 inches
Row 75,11,15 inches,15 inches
Row 76,6,10 inches,15 inches
Row 77,8,10 inches,15 inches
Row 78,10,10 inches,15 inches
Row 79,14,15 inches,15 inches
Row 80,14,15 inches,15 inches
Row 81,14,15 inches,15 inches
Row 82,7,10 inches,15 inches
Row 83,9,10 inches,15 inches
Row 84,8,10 inches,15 inches
Row 85,13,15 inches,15 inches
Row 86,14,15 inches,15 inches
Row 87,11,15 inches,15 inches
Row 88,9,10 inches,15 inches
Row 89,8,10 inches,15 inches
Row 90,12,15 inches,15 inches
Row 91,6,10 inches,15 inches
Row 92,11,15 inches,15 inches
Row 93,7,10 inches,15 inches
Row 94,6,10 inches,15 inches
Row 95,11,15 inches,15 inches
Row 96,10,10 inches,15 inches
Row 97,14,15 inches,15 inches
Row 98,7,10 inches,15 inches
Row 99,8,10 inches,15 inches
Row 100,5,5 inches,15 inches
Row 101,15,15 inches,15 inches
Row 102,12,15 inches,15 inches
Row 103,6,10 inches,15 inches
Row 104,14,15 inches,15 inches
Row 105,12,15 inches,15 inches
Row 106,5,5 inches,15 inches
Row 107,15,15 inches,15 inches
Row 108,5,5 inches,15 inches
Row 109,7,10 inches,15 inches
Row 110,7,10 inches,15 inches
Row 111,9,10 inches,15 inches
Row 112,8,10 inches,15 inches
Row 113,9,10 inches,15 inches
Row 114,14,15 inches,15 inches
Row 115,13,15 inches,15 inches
Row 116,7,10 inches,15 inches
Row 117,11,15 inches,15 inches
Row 118,11,15 inches,15 inches
