Row,Number of Houses,Pipe Size,pipe_size
Row 1,6,10 inches,15 inches
Row 2,7,10 inches,15 inches
Row 3,13,15 inches,15 inches
Row 4,12,15 inches,15 inches
Row 5,14,15 inches,15 inches
Row 6,15,15 inches,15 inches
Row 7,13,15 inches,15 inches
Row 8,10,10 inches,15 inches
Row 9,8,10 inches,15 inches
Row 10,13,15 inches,15 inches
Row 11,14,15 inches,15 inches
Row 12,14,15 inches,15 inches
Row 13,10,10 inches,15 inches
Row 14,9,10 inches,15 inches
Row 15,8,10 inches,15 inches
Row 16,7,10 inches,15 inches
Row 17,10,10 inches,15 inches
Row 18,13,15 inches,15 inches
Row 19,12,15 inches,15 inches
Row 20,6,10 inches,15 inches
Row 21,14,15 inches,15 inches
Row 22,7,10 inches,15 inches
Row 23,15,15 inches,15 inches
Row 24,10,10 inches,15 inches
Row 25,9,10 inches,15 inches
Row 26,10,10 inches,15 inches
Row 27,5,5 inches,15 inches
Row 28,7,10 inches,15 inches
Row 29,9,10 inches,15 inches
Row 30,10,10 inches,15 inches
Row 31,5,5 inches,15 inches
Row 32,5,5 inches,15 inches
Row 33,8,10 inches,15 inches
Row 34,15,15 inches,15 inches
Row 35,12,15 inches,15 inches
Row 36,8,10 inches,15 inches
Row 37,6,10 inches,15 inches
Row 38,12,15 inches,15 inches
Row 39,5,5 inches,15 inches
Row 40,9,10 inches,15 inches
Row 41,9,10 inches,15 inches
Row 42,7,10 inches,15 inches
Row 43,8,10 inches,15 inches
Row 44,8,10 inches,15 inches
Row 45,11,15 inches,15 inches
Row 46,14,15 inches,15 inches
Row 47,14,15 inches,15 inches
Row 48,8,10 inches,15 inches
Row 49,11,15 inches,15 inches
Row 50,15,15 inches,15 inches
Row 51,15,15 inches,15 inches
Row 52,9,10 inches,15 inches
Row 53,9,10 inches,15 inches
Row 54,8,10 inches,15 inches
Row 55,14,15 inches,15 inches
Row 56,12,15 inches,15 inches
Row 57,15,15 inches,15 inches
Row 58,7,10 inches,15 inches
Row 59,9,10 inches,15 inches
Row 60,8,10 inches,15 inches
Row 61,5,5 inches,15 inches
Row 62,11,15 inches,15 inches
Row 63,10,10 inches,15 inches
Row 64,10,10 inches,15 inches
Row 65,15,15 inches,15 inches
Row 66,13,15 inches,15 inches
Row 67,7,10 inches,15 inches
Row 68,15,15 inches,15 inches
Row 69,11,15 inches,15 inches
Row 70,5,5 inches,15 inches
Row 71,11,15 inches,15 inches
Row 72,13,15 inches,15 inches
Row 73,13,15 inches,15 inches
Row 74,15,15 inches,15 inches
Row 75,11,15 inches,15 inches
Row 76,8,10 inches,15 inches
Row 77,10,10 inches,15 inches
Row 78,15,15 inches,15 inches
Row 79,7,10 inches,15 inches
Row 80,13,15 inches,15 inches
Row 81,15,15 inches,15 inches
Row 82,9,10 inches,15 inches
Row 83,14,15 inches,15 inches
Row 84,5,5 inches,15 inches
Row 85,8,10 inches,15 inches
Row 86,15,15 inches,15 inches
Row 87,13,15 inches,15 inches
Row 88,11,15 inches,15 inches
Row 89,15,15 inches,15 inches
Row 90,6,10 inches,15 inches
Row 91,10,10 inches,15 inches
Row 92,7,10 inches,15 inches
Row 93,7,10 inches,15 inches
Row 94,12,15 inches,15 inches
Row 95,15,15 inches,15 inches
Row 96,9,10 inches,15 inches
Row 97,12,15 inches,15 inches
Row 98,12,15 inches,15 inches
Row 99,12,15 inches,15 inches
Row 100,14,15 inches,15 inches
Row 101,8,10 inches,15 inches
Row 102,9,10 inches,15 inches
Row 103,15,15 inches,15 inches
Row 104,5,5 inches,15 inches
Row 105,9,10 inches,15 inches
Row 106,10,10 inches,15 inches
Row 107,14,15 inches,15 inches
Row 108,11,15 inches,15 inches
Row 109,5,5 inches,15 inches
Row 110,13,15 inches,15 inches
Row 111,14,15 inches,15 inches
Row 112,13,15 inches,15 inches
Row 113,8,10 inches,15 inches
Row 114,11,15 inches,15 inches
Row 115,11,15 inches,15 inches
Row 116,11,15 inches,15 inches
Row 117,15,15 inches,15 inches
Row 118,8,10 inches,15 inches
Row 119,15,15 inches,15 inches
Row 120,12,15 inches,15 inches
Row 121,12,15 inches,15 inches
Row 122,15,15 inches,15 inches
Row 123,8,10 inches,15 inches
Row 124,7,10 inches,15 inches
Row 125,7,10 inches,15 inches
Row 126,10,10 inches,15 inches
Row 127,8,10 inches,15 inches
Row 128,9,10 inches,15 inches
Row 129,13,15 inches,15 inches
Row 130,7,10 inches,15 inches
Row 131,8,10 inches,15 inches
Row 132,14,15 inches,15 inches
Row 133,7,10 inches,15 inches
Row 134,14,15 inches,15 inches
Row 135,12,15 inches,15 inches
Row 136,8,10 inches,15 inches
Row 137,7,10 inches,15 inches
Row 138,6,10 inches,15 inches
Row 139,5,5 inches,15 inches
Row 140,14,15 inches,15 inches
Row 141,10,10 inches,15 inches
Row 142,15,15 inches,15 inches
Row 143,10,10 inches,15 inches
Row 144,6,10 inches,15 inches
Row 145,8,10 inches,15 inches
Row 146,10,10 inches,15 inches
Row 147,8,10 inches,15 inches
Row 148,15,15 inches,15 inches
Row 149,15,15 inches,15 inches
Row 150,15,15 inches,15 inches
Row 151,7,10 inches,15 inches
Row 152,8,10 inches,15 inches
Row 153,5,5 inches,15 inches
Row 154,15,15 inches,15 inches
Row 155,14,15 inches,15 inches
Row 156,6,10 inches,15 inches
Row 157,8,10 inches,15 inches
Row 158,5,5 inches,15 inches
Row 159,12,15 inches,15 inches
Row 160,8,10 inches,15 inches
Row 161,10,10 inches,15 inches
Row 162,11,15 inches,15 inches
