Row,Number of Houses,Pipe Size,pipe_size
Row 1,9,10 inches,15 inches
Row 2,10,10 inches,15 inches
Row 3,10,10 inches,15 inches
Row 4,10,10 inches,15 inches
Row 5,12,15 inches,15 inches
Row 6,6,10 inches,15 inches
Row 7,11,15 inches,15 inches
Row 8,14,15 inches,15 inches
Row 9,13,15 inches,15 inches
Row 10,9,10 inches,15 inches
Row 11,5,5 inches,15 inches
Row 12,9,10 inches,15 inches
Row 13,7,10 inches,15 inches
Row 14,12,15 inches,15 inches
Row 15,15,15 inches,15 inches
Row 16,13,15 inches,15 inches
Row 17,9,10 inches,15 inches
Row 18,15,15 inches,15 inches
Row 19,15,15 inches,15 inches
Row 20,8,10 inches,15 inches
Row 21,7,10 inches,15 inches
Row 22,5,5 inches,15 inches
Row 23,13,15 inches,15 inches
Row 24,8,10 inches,15 inches
Row 25,11,15 inches,15 inches
Row 26,11,15 inches,15 inches
Row 27,14,15 inches,15 inches
Row 28,10,10 inches,15 inches
Row 29,9,10 inches,15 inches
Row 30,6,10 inches,15 inches
Row 31,12,15 inches,15 inches
Row 32,12,15 inches,15 inches
Row 33,6,10 inches,15 inches
Row 34,6,10 inches,15 inches
Row 35,11,15 inches,15 inches
Row 36,13,15 inches,15 inches
Row 37,7,10 inches,15 inches
Row 38,14,15 inches,15 inches
Row 39,8,10 inches,15 inches
Row 40,5,5 inches,15 inches
Row 41,6,10 inches,15 inches
Row 42,8,10 inches,15 inches
Row 43,7,10 inches,15 inches
Row 44,6,10 inches,15 inches
Row 45,10,10 inches,15 inches
Row 46,13,15 inches,15 inches
Row 47,15,15 inches,15 inches
Row 48,13,15 inches,15 inches
Row 49,15,15 inches,15 inches
Row 50,8,10 inches,15 inches
Row 51,15,15 inches,15 inches
Row 52,7,10 inches,15 inches
Row 53,7,10 inches,15 inches
Row 54,15,15 inches,15 inches
Row 55,7,10 inches,15 inches
Row 56,10,10 inches,15 inches
Row 57,9,10 inches,15 inches
Row 58,9,10 inches,15 inches
Row 59,5,5 inches,15 inches
Row 60,7,10 inches,15 inches
Row 61,14,15 inches,15 inches
Row 62,7,10 inches,15 inches
Row 63,12,15 inches,15 inches
Row 64,6,10 inches,15 inches
Row 65,7,10 inches,15 inches
Row 66,11,15 inches,15 inches
Row 67,14,15 inches,15 inches
Row 68,8,10 inches,15 inches
Row 69,14,15 inches,15 inches
Row 70,9,10 inches,15 inches
Row 71,5,5 inches,15 inches
Row 72,9,10 inches,15 inches
Row 73,13,15 inches,15 inches
Row 74,7,10 inches,15 inches
Row 75,5,5 inches,15 inches
Row 76,15,15 inches,15 inches
Row 77,13,15 inches,15 inches
Row 78,5,5 inches,15 inches
Row 79,6,10 inches,15 inches
Row 80,6,10 inches,15 inches
Row 81,15,15 inches,15 inches
Row 82,5,5 inches,15 inches
Row 83,8,10 inches,15 inches
Row 84,9,10 inches,15 inches
Row 85,12,15 inches,15 inches
Row 86,9,10 inches,15 inches
Row 87,9,10 inches,15 inches
Row 88,11,15 inches,15 inches
Row 89,6,10 inches,15 inches
Row 90,12,15 inches,15 inches
Row 91,5,5 inches,15 inches
Row 92,13,15 inches,15 inches
Row 93,14,15 inches,15 inches
Row 94,13,15 inches,15 inches
Row 95,6,10 inches,15 inches
Row 96,12,15 inches,15 inches
Row 97,10,10 inches,15 inches
Row 98,6,10 inches,15 inches
Row 99,15,15 inches,15 inches
Row 100,11,15 inches,15 inches
Row 101,12,15 inches,15 inches
Row 102,12,15 inches,15 inches
Row 103,11,15 inches,15 inches
Row 104,13,15 inches,15 inches
Row 105,9,10 inches,15 inches
Row 106,14,15 inches,15 inches
Row 107,14,15 inches,15 inches
Row 108,8,10 inches,15 inches
Row 109,11,15 inches,15 inches
Row 110,14,15 inches,15 inches
Row 111,12,15 inches,15 inches
Row 112,9,10 inches,15 inches
Row 113,11,15 inches,15 inches
Row 114,6,10 inches,15 inches
Row 115,6,10 inches,15 inches
Row 116,10,10 inches,15 inches
Row 117,9,10 inches,15 inches
Row 118,13,15 inches,15 inches
