Row,Number of Houses,Pipe Size
Row 1,11,15 inches
Row 2,15,15 inches
Row 3,13,15 inches
Row 4,9,10 inches
Row 5,13,15 inches
Row 6,12,15 inches
Row 7,9,10 inches
Row 8,11,15 inches
Row 9,10,10 inches
Row 10,12,15 inches
Row 11,11,15 inches
Row 12,15,15 inches
Row 13,9,10 inches
Row 14,14,15 inches
Row 15,7,10 inches
Row 16,5,5 inches
Row 17,13,15 inches
Row 18,13,15 inches
Row 19,5,5 inches
Row 20,9,10 inches
Row 21,13,15 inches
Row 22,15,15 inches
Row 23,10,10 inches
Row 24,6,10 inches
Row 25,10,10 inches
Row 26,7,10 inches
Row 27,9,10 inches
Row 28,5,5 inches
Row 29,15,15 inches
Row 30,7,10 inches
Row 31,15,15 inches
Row 32,5,5 inches
Row 33,6,10 inches
Row 34,6,10 inches
Row 35,10,10 inches
Row 36,14,15 inches
Row 37,7,10 inches
Row 38,9,10 inches
Row 39,11,15 inches
Row 40,10,10 inches
Row 41,6,10 inches
Row 42,7,10 inches
Row 43,8,10 inches
Row 44,12,15 inches
Row 45,7,10 inches
Row 46,15,15 inches
Row 47,15,15 inches
Row 48,10,10 inches
Row 49,6,10 inches
Row 50,6,10 inches
Row 51,12,15 inches
Row 52,15,15 inches
Row 53,13,15 inches
Row 54,10,10 inches
Row 55,13,15 inches
Row 56,15,15 inches
Row 57,7,10 inches
Row 58,7,10 inches
Row 59,13,15 inches
Row 60,10,10 inches
Row 61,11,15 inches
Row 62,11,15 inches
Row 63,5,5 inches
Row 64,10,10 inches
Row 65,9,10 inches
Row 66,12,15 inches
Row 67,12,15 inches
Row 68,7,10 inches
Row 69,7,10 inches
Row 70,15,15 inches
Row 71,10,10 inches
Row 72,9,10 inches
Row 73,10,10 inches
Row 74,12,15 inches
Row 75,15,15 inches
Row 76,12,15 inches
Row 77,9,10 inches
Row 78,6,10 inches
Row 79,10,10 inches
Row 80,8,10 inches
Row 81,9,10 inches
Row 82,10,10 inches
Row 83,6,10 inches
Row 84,8,10 inches
Row 85,5,5 inches
Row 86,14,15 inches
Row 87,13,15 inches
Row 88,6,10 inches
Row 89,7,10 inches
Row 90,13,15 inches
Row 91,7,10 inches
Row 92,12,15 inches
Row 93,14,15 inches
Row 94,13,15 inches
Row 95,12,15 inches
Row 96,14,15 inches
Row 97,6,10 inches
Row 98,11,15 inches
Row 99,6,10 inches
Row 100,15,15 inches
Row 101,14,15 inches
Row 102,7,10 inches
Row 103,12,15 inches
Row 104,14,15 inches
Row 105,12,15 inches
Row 106,14,15 inches
Row 107,5,5 inches
Row 108,6,10 inches
Row 109,9,10 inches
Row 110,13,15 inches
Row 111,15,15 inches
Row 112,15,15 inches
Row 113,8,10 inches
Row 114,8,10 inches
Row 115,6,10 inches
Row 116,6,10 inches
Row 117,7,10 inches
Row 118,12,15 inches
Row 119,9,10 inches
Row 120,6,10 inches
Row 121,14,15 inches
Row 122,10,10 inches
Row 123,12,15 inches
Row 124,12,15 inches
Row 125,10,10 inches
Row 126,14,15 inches
Row 127,10,10 inches
Row 128,9,10 inches
Row 129,8,10 inches
Row 130,11,15 inches
Row 131,10,10 inches
Row 132,9,10 inches
Row 133,6,10 inches
Row 134,5,5 inches
Row 135,5,5 inches
Row 136,10,10 inches
Row 137,10,10 inches
