Row,Number of Houses,Pipe Size
Row 1,13,15 inches
Row 2,10,10 inches
Row 3,10,10 inches
Row 4,5,5 inches
Row 5,7,10 inches
Row 6,13,15 inches
Row 7,9,10 inches
Row 8,9,10 inches
Row 9,14,15 inches
Row 10,11,15 inches
Row 11,12,15 inches
Row 12,11,15 inches
Row 13,13,15 inches
Row 14,6,10 inches
Row 15,7,10 inches
Row 16,13,15 inches
Row 17,11,15 inches
Row 18,13,15 inches
Row 19,11,15 inches
Row 20,13,15 inches
Row 21,6,10 inches
Row 22,10,10 inches
Row 23,7,10 inches
Row 24,8,10 inches
Row 25,10,10 inches
Row 26,12,15 inches
Row 27,14,15 inches
Row 28,15,15 inches
Row 29,10,10 inches
Row 30,11,15 inches
Row 31,12,15 inches
Row 32,14,15 inches
Row 33,10,10 inches
Row 34,5,5 inches
Row 35,10,10 inches
Row 36,9,10 inches
Row 37,7,10 inches
Row 38,8,10 inches
Row 39,12,15 inches
Row 40,12,15 inches
Row 41,14,15 inches
Row 42,14,15 inches
Row 43,10,10 inches
Row 44,12,15 inches
Row 45,6,10 inches
Row 46,10,10 inches
Row 47,15,15 inches
Row 48,10,10 inches
Row 49,5,5 inches
Row 50,12,15 inches
Row 51,12,15 inches
Row 52,12,15 inches
Row 53,6,10 inches
Row 54,11,15 inches
Row 55,14,15 inches
Row 56,8,10 inches
Row 57,15,15 inches
Row 58,10,10 inches
Row 59,9,10 inches
Row 60,10,10 inches
Row 61,5,5 inches
Row 62,15,15 inches
Row 63,15,15 inches
Row 64,10,10 inches
Row 65,12,15 inches
Row 66,13,15 inches
Row 67,12,15 inches
Row 68,10,10 inches
Row 69,5,5 inches
Row 70,6,10 inches
Row 71,6,10 inches
Row 72,6,10 inches
Row 73,9,10 inches
Row 74,9,10 inches
Row 75,10,10 inches
Row 76,5,5 inches
Row 77,9,10 inches
Row 78,8,10 inches
Row 79,9,10 inches
Row 80,11,15 inches
Row 81,13,15 inches
Row 82,6,10 inches
Row 83,8,10 inches
Row 84,11,15 inches
Row 85,12,15 inches
Row 86,11,15 inches
Row 87,5,5 inches
Row 88,8,10 inches
Row 89,10,10 inches
Row 90,14,15 inches
Row 91,11,15 inches
Row 92,7,10 inches
Row 93,12,15 inches
Row 94,15,15 inches
Row 95,6,10 inches
Row 96,13,15 inches
Row 97,14,15 inches
Row 98,13,15 inches
Row 99,6,10 inches
Row 100,11,15 inches
Row 101,9,10 inches
Row 102,12,15 inches
Row 103,7,10 inches
Row 104,11,15 inches
Row 105,12,15 inches
Row 106,13,15 inches
Row 107,15,15 inches
Row 108,13,15 inches
Row 109,8,10 inches
Row 110,12,15 inches
Row 111,14,15 inches
Row 112,11,15 inches
Row 113,5,5 inches
Row 114,6,10 inches
Row 115,15,15 inches
Row 116,12,15 inches
Row 117,10,10 inches
Row 118,11,15 inches
Row 119,14,15 inches
Row 120,14,15 inches
Row 121,15,15 inches
Row 122,13,15 inches
Row 123,8,10 inches
Row 124,14,15 inches
Row 125,14,15 inches
Row 126,7,10 inches
Row 127,13,15 inches
Row 128,13,15 inches
Row 129,9,10 inches
Row 130,6,10 inches
Row 131,13,15 inches
Row 132,8,10 inches
Row 133,9,10 inches
Row 134,15,15 inches
Row 135,8,10 inches
Row 136,8,10 inches
Row 137,5,5 inches
Row 138,15,15 inches
Row 139,5,5 inches
Row 140,7,10 inches
Row 141,14,15 inches
Row 142,9,10 inches
Row 143,6,10 inches
Row 144,5,5 inches
Row 145,13,15 inches
Row 146,8,10 inches
Row 147,6,10 inches
